Company name,Main contact name,Main contact email,Main contact phone,Division,MOA workflow (from MOA setup),COSEC client?,Has Limit of Authority (LOA)?,LOA holder names (if Y),Invoice to,Bill to,Division MOI managers (auto),Notes
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A27,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E27="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E27,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E27,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E27,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E27,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E27,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E27,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E27,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A28,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E28="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E28,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E28,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E28,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E28,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E28,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E28,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E28,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A29,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E29="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E29,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E29,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E29,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E29,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E29,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E29,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E29,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A30,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E30="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E30,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E30,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E30,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E30,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E30,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E30,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E30,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A31,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E31="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E31,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E31,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E31,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E31,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E31,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E31,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E31,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A32,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E32="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E32,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E32,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E32,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E32,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E32,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E32,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E32,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A33,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E33="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E33,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E33,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E33,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E33,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E33,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E33,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E33,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A34,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E34="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E34,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E34,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E34,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E34,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E34,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E34,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E34,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A35,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E35="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E35,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E35,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E35,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E35,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E35,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E35,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E35,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A36,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E36="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E36,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E36,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E36,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E36,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E36,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E36,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E36,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A37,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E37="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E37,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E37,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E37,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E37,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E37,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E37,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E37,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A38,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E38="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E38,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E38,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E38,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E38,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E38,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E38,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E38,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A39,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E39="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E39,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E39,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E39,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E39,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E39,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E39,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E39,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A40,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E40="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E40,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E40,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E40,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E40,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E40,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E40,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E40,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A41,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E41="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E41,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E41,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E41,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E41,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E41,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E41,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E41,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A42,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E42="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E42,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E42,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E42,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E42,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E42,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E42,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E42,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A43,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E43="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E43,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E43,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E43,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E43,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E43,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E43,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E43,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A44,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E44="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E44,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E44,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E44,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E44,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E44,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E44,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E44,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A45,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E45="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E45,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E45,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E45,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E45,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E45,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E45,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E45,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A46,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E46="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E46,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E46,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E46,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E46,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E46,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E46,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E46,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A47,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E47="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E47,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E47,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E47,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E47,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E47,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E47,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E47,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A48,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E48="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E48,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E48,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E48,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E48,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E48,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E48,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E48,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A49,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E49="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E49,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E49,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E49,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E49,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E49,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E49,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E49,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A50,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E50="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E50,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E50,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E50,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E50,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E50,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E50,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E50,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A51,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E51="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E51,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E51,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E51,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E51,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E51,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E51,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E51,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A52,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E52="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E52,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E52,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E52,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E52,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E52,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E52,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E52,Divisions!$A$3:$A$50,0)),""""),"""")))",
